Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
28,422.0,501.3333333333333,791.3333333333334,2307.3333333333335,2044.0,983.3333333333334,8013.333333333333,1912.6666666666667,2398.0,972.0,1036.0,39126.666666666664,896.6666666666666,1705.3333333333333,677.3333333333334,580.6666666666666,194.0,1582.0,294.6666666666667,998.6666666666666,786.6666666666666,1397.3333333333333,392.0,552.6666666666666,386.6666666666667,410.0,2364.0,1050.6666666666667,841.3333333333334,648.0,1024.6666666666667,962.0
29,475.3333333333333,527.3333333333334,792.0,2311.3333333333335,2161.3333333333335,1024.0,8088.0,1931.3333333333333,2531.3333333333335,978.6666666666666,1141.3333333333333,40616.666666666664,962.0,1810.0,726.0,600.6666666666666,200.66666666666666,1660.0,307.3333333333333,1003.3333333333334,838.0,1446.0,449.3333333333333,561.3333333333334,419.3333333333333,471.3333333333333,2424.0,1080.0,880.0,730.0,1086.0,999.3333333333334
30,470.0,560.6666666666666,806.0,2291.3333333333335,2363.3333333333335,1129.3333333333333,8227.333333333334,2074.6666666666665,2650.6666666666665,934.6666666666666,1202.0,42466.0,1060.6666666666667,1906.6666666666667,710.0,658.0,224.0,1676.6666666666667,366.6666666666667,1046.6666666666667,902.0,1568.6666666666667,488.0,626.6666666666666,450.0,445.3333333333333,2547.3333333333335,1162.6666666666667,956.0,732.0,1211.3333333333333,1016.6666666666666
31,492.6666666666667,604.6666666666666,887.3333333333334,2387.3333333333335,2463.3333333333335,1148.6666666666667,8244.0,2043.3333333333333,2827.3333333333335,976.0,1286.6666666666667,43964.666666666664,1056.6666666666667,1993.3333333333333,808.6666666666666,680.6666666666666,244.0,1681.3333333333333,322.6666666666667,1117.3333333333333,970.6666666666666,1722.0,492.0,616.6666666666666,485.3333333333333,463.3333333333333,2642.0,1183.3333333333333,974.0,794.6666666666666,1239.3333333333333,1115.3333333333333
32,497.3333333333333,664.0,886.6666666666666,2376.0,2560.6666666666665,1242.0,8029.333333333333,2110.0,2885.3333333333335,902.6666666666666,1302.6666666666667,44530.0,1131.3333333333333,2008.6666666666667,766.6666666666666,726.0,253.33333333333334,1781.3333333333333,358.6666666666667,1103.3333333333333,953.3333333333334,1787.3333333333333,475.3333333333333,615.3333333333334,490.6666666666667,494.6666666666667,2698.6666666666665,1209.3333333333333,1033.3333333333333,796.6666666666666,1254.6666666666667,1134.6666666666667
33,500.0,636.6666666666666,892.0,2225.3333333333335,2622.0,1219.3333333333333,7622.666666666667,2015.3333333333333,3064.0,814.6666666666666,1397.3333333333333,44251.333333333336,1116.0,2124.6666666666665,754.0,747.3333333333334,252.66666666666666,1748.6666666666667,366.0,1157.3333333333333,1012.6666666666666,1770.0,467.3333333333333,622.6666666666666,488.0,502.0,2719.3333333333335,1219.3333333333333,974.6666666666666,792.6666666666666,1220.0,1186.6666666666667
34,516.0,658.6666666666666,970.0,2273.3333333333335,2836.0,1348.6666666666667,7365.333333333333,2029.3333333333333,3191.3333333333335,888.0,1488.6666666666667,46270.0,1149.3333333333333,2228.6666666666665,820.0,786.0,272.6666666666667,1825.3333333333333,418.6666666666667,1220.6666666666667,1089.3333333333333,1937.3333333333333,559.3333333333334,690.0,521.3333333333334,524.0,2913.3333333333335,1308.6666666666667,1038.0,825.3333333333334,1346.0,1230.6666666666667
35,555.3333333333334,719.3333333333334,1010.6666666666666,2311.3333333333335,3074.0,1344.0,7288.0,2036.0,3341.3333333333335,851.3333333333334,1620.6666666666667,48423.333333333336,1241.3333333333333,2390.6666666666665,916.6666666666666,902.0,295.3333333333333,1914.6666666666667,408.6666666666667,1274.6666666666667,1128.0,2104.0,566.6666666666666,716.0,597.3333333333334,560.0,2975.3333333333335,1438.0,1163.3333333333333,931.3333333333334,1425.3333333333333,1322.0
36,556.6666666666666,767.3333333333334,1062.0,2307.3333333333335,3188.0,1408.0,7079.333333333333,2125.3333333333335,3551.3333333333335,888.0,1662.6666666666667,49905.333333333336,1349.3333333333333,2498.6666666666665,894.6666666666666,922.6666666666666,300.6666666666667,2008.0,452.0,1320.0,1186.6666666666667,2166.0,596.0,734.6666666666666,616.0,623.3333333333334,3228.6666666666665,1430.6666666666667,1158.0,1001.3333333333334,1420.6666666666667,1401.3333333333333
37,605.3333333333334,788.0,1140.6666666666667,2420.6666666666665,3310.6666666666665,1404.0,6740.0,2158.0,3557.3333333333335,871.3333333333334,1731.3333333333333,50413.333333333336,1380.0,2564.0,910.0,960.6666666666666,296.6666666666667,2015.3333333333333,413.3333333333333,1281.3333333333333,1248.0,2221.3333333333335,616.0,774.0,632.6666666666666,625.3333333333334,3245.3333333333335,1439.3333333333333,1141.3333333333333,958.6666666666666,1451.3333333333333,1511.3333333333333
