"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","IE0","Ireland","Number","5149139"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","61968"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","592713"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","233860"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","330506"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","301075"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","247774"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","104160"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","91877"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","46751"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","139703"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","220826"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","83150"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","96221"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","163919"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","155851"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","127938"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","224004"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","360152"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","156458"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","209536"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","167895"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","127363"
"FY006AC01","Population","2022","2022","-","Both sexes","-","All ages","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","84414"
