"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","084","84 years","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","145"
"FY006AC01","Population","2022","2022","2","Female","084","84 years","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","351"
"FY006AC01","Population","2022","2022","2","Female","084","84 years","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","113"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","IE0","Ireland","Number","8303"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","77"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","1109"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","570"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","300"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","394"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","269"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","183"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","114"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","78"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","209"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","238"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","168"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","144"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","287"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","239"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","202"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","401"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","593"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","255"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","338"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","308"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","213"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","130"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","303"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","55"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1493-13a3-e055-000000000001","Mayo  County Council","Number","304"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","126"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","146"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","137"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","317"
"FY006AC01","Population","2022","2022","2","Female","085","85 years","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","96"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","IE0","Ireland","Number","7501"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","86"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","988"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","482"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","293"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","304"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","218"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","189"
